name,author,narrator,duration_minutes,release_date,language,star_rating,num_ratings,price_inr
Super Pigiamini - Storie della buonanotte da 5 minuti,Raffaella Casati,StefanPopa,64,2022-03-30,Italian,,,113.0
Lost Island,Marcy Kate Connolly,ChloeCannon,239,2022-03-29,English,,,469.0
The Boy Who Hatched Monsters,T.C.Shelley,JotDavies,573,2022-03-31,English,,,493.0
The Magic Ocean Slide & The Giant Conker,Emma Beswetherick,HayleyWareham,133,2022-04-01,English,,,573.0
Krieg der Fluten,Dan Jolley,JacobWeigert,402,2022-03-30,German,,,468.0
The Secret of Splint Hall,Katie Cotton,JuliaBarrie,561,2022-04-01,English,,,759.0
Tschakka! - Freunde in Sicht,Mara Andeck,MonikaOschek,149,2022-03-30,German,,,367.0
El candidato novato,Jordi Sierrai Fabra,AnetaFernández,174,2022-04-01,Spanish,,,192.0
The Call of the Silver Wibbler,Hannah Peck,CharlieSanderson,93,2022-03-31,English,,,569.0
Frankie Best Hates Quests,Chris Smith,"ChrisSmith,KariseYansen,RoyMcMillan",391,2022-03-31,English,,,410.0
Trapped in the Overworld,Winter Morgan,NicolZanzarella,114,2016-06-30,English,5.0,3.0,233.0
The Boy Who Biked the World: On the Road to Africa,Alastair Humphreys,AlastairHumphreys,115,2022-02-11,English,,,569.0
The 143-Storey Treehouse,"Andy Griffiths,Terry Denton",StigWemyss,100,2021-10-19,English,,,323.0
Unicorn Academy: Isla and Buttercup,Julie Sykes,KristinAtherton,96,2022-03-10,English,,,266.0
Herobrine's War,Mark Cheverton,NickWalther,381,2022-03-01,English,,,703.0
Small Change for Stuart,Lissa Evans,LissaEvans,246,2021-07-01,English,,,664.0
The Extreme,Katherine Applegate,RamóndeOcampo,184,2022-01-04,English,,,445.0
Alain l'alien,Xavier-Laurent Petit,MarionTrintignant,11,2022-03-09,French,,,338.0
Wingfeather Tales,"Andrew Peterson-editor,Jonathan Rogers,N.D.Wilson,",AndrewPeterson,638,2021-03-23,English,,,1382.0
Spider-Man gegen Sandman / Spider-Man und die Marvels,"Mac Kenzie Cadenhead,Sean Ryan,Anke Albrecht-Übersetzer",ChristianZeiger,57,2022-03-21,German,,,166.0
Swamp Sting!,"Sebastian Facio,Blake A.Hoena",anonymous,11,2022-03-16,English,,,105.0
Poison Jungle,Tui T.Sutherland,ShannonMcManus,445,2019-07-30,English,5.0,10.0,656.0
39 Clues: Cahills vs. Vespers,Gordon Korman,DavidPittu,322,2011-08-30,English,5.0,5.0,586.0
Adventure Time - Too Many Bananas & Other Stories,"Rohini Nilekani,Reshma Thapa-Gurung,Lavina Mahbubani","AvinashRamachander,BrianChristopher,SeetalIyer",29,2021-06-16,English,,,422.0
Blue Moon,James Ponti,ElizabethKlett,419,2021-05-18,English,,,586.0
The Last Kids on Earth: June's Wild Flight,"Max Brallier,Douglas Holgate",MontseHernandez,196,2020-04-07,English,5.0,3.0,754.0
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,Dav Pilkey,"LenForgione,WinstonBromhead,I'keMitchell",159,2021-04-02,English,5.0,5.0,492.0
Mermaids of the Deep Blue Sea,Gertrude Chandler Warner,AimeeLilly,104,2021-09-01,English,,,234.0
Flying Ninja!,Anh Do,ChristopherGebauer,56,2021-05-18,English,,,164.0
Fortress of the Stone Dragon,Tracey West,EmilyEllet,49,2021-05-04,English,,,164.0
Zoey and Sassafras: The Pod and the Bog,Asia Citro,JaninaEdwards,65,2021-04-13,English,,,468.0
PJ Masks - Héroes en Pijamas - ¡Los lobeznos!,"e One,Nicolás Olucha Sánchez-traductor",KevinCalderón,10,2022-01-24,Spanish,,,38.0
PJ Masks - Potència PJ!,"e One,Ana C.Alcaina Perez-traductor",RogerSerradell,33,2022-01-24,Catalan,,,38.0
PJ Masks - Preparats per a l’acció!,"e One,Ana C.Alcaina Perez-traductor",RogerSerradell,12,2022-01-24,Catalan,,,38.0
"Mortel un jour, Mortel toujours!",Mr Tan,DorothéePousseo,65,2022-01-25,French,,,529.0
Pyjamasankarit - 3 minuutin iltasatuja,"e One,Kimmo Lilja",ValtteriLehtinen,36,2022-01-21,Finnish,,,32.0
PJ Masks - Vet aquí en Robot PJ!,"e One,Ana C.Alcaina Perez-traductor",RogerSerradell,9,2022-01-24,Catalan,,,38.0
PJ Masks - PJ Robot,"e One,Nicolás Olucha Sánchez-traductor",RogerSerradell,9,2022-01-24,Spanish,,,38.0
Le géant de pierre,Bertrand Fichou,ClotildeDonna,7,2022-01-25,French,,,189.0
Pyjamasankarit - Nousu taikavuorelle,"e One,Kimmo Lilja",ValtteriLehtinen,11,2022-01-21,Finnish,,,32.0
PJ Masks - Héroes en Pijamas - Catboy y el gran rescate de la torta de cumpleaños,"e One,Nicolás Olucha Sánchez-traductor",KevinCalderón,7,2022-01-24,Spanish,,,38.0
Tijl en de tijdbom,Lara Reims,RubenBrinkman,305,2022-01-21,Dutch,,,233.0
Genius Camp,Chris Grabenstein,KirbyHeyborne,373,2021-11-30,English,,,904.0
The Talisman of Lostland,A.M.Luzzader,JenniferJillAraya,338,2021-11-23,English,,,469.0
Star Wars: The High Republic: A Test of Courage,Justina Ireland,KeylorLeigh,274,2021-01-05,English,4.0,2.0,754.0
The Secret Explorers and the Plant Poachers,SJKing,AyshaKala,74,2021-10-07,English,,,410.0
The Red Slippers,Carolyn Keene,JorjeanaMarie,173,2015-12-24,English,5.0,9.0,305.0
Captain Underpants and the Preposterous Plight of the Purple Potty People,Dav Pilkey,"LenForgione,WinstonBromhead,I'keMitchell",75,2021-01-19,English,,,258.0
The Magician's Secret,Carolyn Keene,JorjeanaMarie,162,2015-12-24,English,4.5,7.0,305.0
The Case of the Bizarre Bouquets,Nancy Springer,KatherineKellgren,219,2008-04-11,English,4.5,3.0,609.0
Shockwave,Wilbur Smith,ElliotChapman,356,2022-03-17,English,,,1328.0
The Phantom of Nantucket,Carolyn Keene,JorjeanaMarie,196,2015-12-24,English,5.0,5.0,305.0
The Swamp Robber,Paul Hutchens,AimeeLilly,164,2018-09-18,English,,,234.0
The Magic Finger,Roald Dahl,KateWinslet,26,2014-09-11,English,4.5,14.0,615.0
The Adventures of Captain Underpants,Dav Pilkey,"LenForgione,DazjonFreeman,BenD'Amico",60,2018-05-22,English,4.5,13.0,258.0
Secret at Mystic Lake,Carolyn Keene,JorjeanaMarie,156,2015-09-28,English,4.5,14.0,305.0
Fight for Dusty Divot,Devin Hunter,RamondeOcampo,129,2019-01-08,English,,,585.0
"I Survived the Sinking of the Titanic, 1912",Lauren Tarshis,LaurenFortgang,76,2016-03-29,English,,,187.0
Showdown at Widow Creek,Franklin W.Dixon,TimGregory,166,2016-02-02,English,5.0,3.0,305.0
Case of the Missing Marquess,Nancy Springer,KatherineKellgren,271,2008-10-22,English,4.5,3.0,726.0
